order_id,product_id,product_name,category,quantity,price_per_unit,discount_percent,region,sales_channel,order_date,customer_id,customer_name,payment_method,order_status,sales_rep,total_price
ORD10065,PRD218,During,Clothing,8,380.83,0,South,Retail,2025-01-02,CUST6095,Jason Gomez,Cash,Pending,Laura Wang DDS,3046.64
ORD10066,PRD511,Outside,Clothing,5,380.83,10,West,Wholesale,2025-05-18,CUST2539,Bonnie Martin,PayPal,Completed,Patricia Yates,1713.735
ORD10067,PRD798,Produce,Clothing,9,380.83,20,East,Retail,2025-01-15,CUST8184,Tina Cook,PayPal,Cancelled,Krista Vasquez,2741.976
ORD10068,PRD461,Low,Toys,9,380.83,5,South,Online,2024-09-17,CUST6746,Mr. David Callahan DDS,Cash,Cancelled,Lori Bell,3256.0964999999997
ORD10069,PRD891,Alone,Books,7,380.83,10,West,Online,2025-02-24,CUST8310,Nicholas Short,Cash,Cancelled,Scott Bates,2399.229
ORD10070,PRD836,One,Books,7,380.83,0,North,Online,2025-06-05,CUST7412,Kelly Cook,PayPal,Pending,Cory Larson,2665.81
ORD10071,PRD121,Staff,Books,4,380.83,20,South,Wholesale,2024-12-15,CUST6566,Thomas Davis,Wire Transfer,Completed,Victoria Morton,1218.656
ORD10072,PRD127,Mission,Electronics,3,380.83,15,North,Retail,2025-04-23,CUST6828,Jane Lopez,Wire Transfer,Completed,Maureen King,971.1165
ORD10073,PRD342,Both,Clothing,2,380.83,0,North,Retail,2025-07-10,CUST3093,Claire York,Wire Transfer,Cancelled,William Lucero,761.66
ORD10074,PRD276,Easy,Furniture,8,380.83,20,East,Online,2025-05-01,CUST5695,Mary Sullivan,Wire Transfer,Returned,Lindsey Leon,2437.312
ORD10075,PRD526,Black,Toys,5,380.83,10,South,Retail,2025-02-09,CUST7712,Jessica Foley,Credit Card,Cancelled,Seth Hughes,1713.735
ORD10076,PRD436,Who,Furniture,9,380.83,0,South,Online,2025-05-18,CUST6709,Sheri Wiggins,PayPal,Returned,Eric Holt,3427.47
ORD10077,PRD487,Different,Electronics,3,380.83,10,North,Online,2025-03-17,CUST3168,Dave Hernandez,Cash,Returned,Mrs. Margaret Faulkner,1028.241
ORD10078,PRD963,Something,Furniture,2,380.83,20,East,Online,2025-02-01,CUST5116,William Chapman,PayPal,Returned,Kathleen Green,609.328
ORD10079,PRD868,New,Furniture,5,380.83,20,North,Retail,2024-10-20,CUST1016,Cheryl Williams,Cash,Returned,Marcus Acevedo,1523.32
ORD10080,PRD913,Main,Toys,4,380.83,5,South,Wholesale,2024-12-30,CUST2382,Jennifer Lambert,Credit Card,Returned,Jasmine Rhodes,1447.1539999999998
ORD10081,PRD835,End,Books,3,380.83,20,East,Online,2025-06-07,CUST3104,Jamie Jackson MD,PayPal,Returned,Angela Wiggins,913.9920000000001
ORD10082,PRD683,Ground,Books,8,380.83,20,South,Retail,2024-09-12,CUST6597,Cassie Lopez,PayPal,Completed,Melissa Parrish,2437.312
ORD10083,PRD784,Act,Books,3,380.83,5,North,Retail,2025-05-01,CUST5991,Amanda Arroyo,Wire Transfer,Returned,Jared Oconnell,1085.3654999999999
ORD10084,PRD150,Sport,Furniture,2,380.83,10,West,Retail,2025-02-19,CUST5082,Matthew Dixon,PayPal,Completed,Kathy Johnson,685.494
ORD10085,PRD545,Cup,Toys,8,380.83,10,South,Wholesale,2024-11-09,CUST3001,Gina Boyer,PayPal,Cancelled,Natalie Armstrong,2741.976
ORD10086,PRD173,Sing,Toys,3,380.83,10,West,Online,2025-01-29,CUST1268,Elizabeth Brown,Cash,Completed,Gary Coleman,1028.241
ORD10087,PRD575,Article,Books,7,380.83,10,East,Online,2025-04-02,CUST3382,Kimberly Powell,Wire Transfer,Completed,Abigail Cooper,2399.229
ORD10088,PRD670,Word,Furniture,9,380.83,10,West,Retail,2024-09-23,CUST5253,Emily Cordova,Wire Transfer,Pending,Dwayne Atkins,3084.723
ORD10089,PRD414,Small,Electronics,1,380.83,20,North,Online,2024-11-14,CUST7683,Hannah Wilson,Credit Card,Pending,Eric Evans,304.664
ORD10090,PRD235,Station,Clothing,2,380.83,20,North,Wholesale,2025-01-12,CUST6914,Jamie Wilson,Cash,Returned,Veronica Rice,609.328
ORD10091,PRD181,Least,Toys,1,380.83,0,North,Wholesale,2025-02-23,CUST5100,Brooke Fields,Cash,Pending,Kelsey Macdonald,380.83
ORD10092,PRD837,Key,Electronics,3,380.83,20,West,Wholesale,2024-08-19,CUST5477,Erin Padilla,Wire Transfer,Returned,Kim Fernandez,913.9920000000001
ORD10093,PRD512,Painting,Electronics,3,380.83,20,West,Wholesale,2025-03-11,CUST7977,David Jones,Cash,Returned,Maria Munoz,913.9920000000001
ORD10094,PRD735,We,Furniture,4,380.83,5,West,Online,2025-02-18,CUST1437,Kathleen Lawson,Credit Card,Completed,Ashley Haas,1447.1539999999998
ORD10095,PRD428,Account,Electronics,7,380.83,5,East,Retail,2025-06-14,CUST4314,Kyle Gomez,Credit Card,Completed,Evelyn Pitts,2532.5195
ORD10096,PRD329,Goal,Electronics,1,380.83,0,West,Online,2024-12-08,CUST2672,Jared Tyler,Wire Transfer,Completed,Tyler Lee,380.83
ORD10097,PRD189,Tree,Toys,6,380.83,20,South,Online,2025-06-12,CUST8680,Paul Phelps,Credit Card,Cancelled,Rick Ramos,1827.9840000000002
ORD10098,PRD444,Responsibility,Clothing,3,380.83,10,West,Online,2025-01-29,CUST4530,Drew Valentine,Wire Transfer,Returned,Valerie Andrade,1028.241
ORD10099,PRD556,Drop,Books,8,380.83,5,West,Online,2025-04-24,CUST7589,Julie Sanders,PayPal,Cancelled,Rhonda Richards,2894.3079999999995
ORD10100,PRD613,Difference,Books,9,380.83,20,West,Retail,2025-02-15,CUST9054,Clifford Vincent,PayPal,Pending,Kathy Evans,2741.976
ORD10101,PRD999,Success,Toys,3,380.83,10,North,Retail,2025-06-06,CUST5314,John Joseph,Wire Transfer,Returned,Nancy Davis,1028.241
ORD10102,PRD373,Low,Toys,1,380.83,10,South,Retail,2024-12-17,CUST7311,Kimberly Morris,Wire Transfer,Completed,Timothy Kline,342.747
ORD10103,PRD475,Assume,Books,4,380.83,15,South,Wholesale,2024-12-17,CUST9929,Steven Goodwin,Credit Card,Completed,Steve Jenkins,1294.822
ORD10104,PRD922,Box,Clothing,4,380.83,15,South,Online,2025-01-15,CUST3155,Nancy Colon,Cash,Returned,Stacie Schaefer,1294.822
ORD10105,PRD878,Issue,Furniture,2,380.83,5,West,Retail,2025-01-08,CUST4645,Cassandra Kim,Credit Card,Completed,Mary Martin,723.5769999999999
ORD10106,PRD302,Food,Furniture,4,380.83,5,West,Retail,2025-06-12,CUST9412,Joe Williams,Wire Transfer,Pending,Keith Gilmore,1447.1539999999998
ORD10107,PRD166,Miss,Books,1,380.83,20,South,Wholesale,2025-04-07,CUST5688,Karen Scott,Cash,Pending,Mary Scott,304.664
ORD10108,PRD852,True,Clothing,6,380.83,10,West,Retail,2025-03-22,CUST1533,Joseph Mcpherson,Cash,Returned,Casey Rodriguez,2056.482
ORD10109,PRD677,Ball,Clothing,5,380.83,5,North,Wholesale,2025-04-15,CUST6569,Stephen Christensen,Cash,Cancelled,Sandra Sherman,1808.9424999999999
ORD10110,PRD427,Maintain,Books,8,380.83,10,South,Wholesale,2024-08-21,CUST6613,David Berger,Wire Transfer,Returned,Christopher Johnson,2741.976
ORD10111,PRD427,Rule,Toys,9,380.83,20,North,Retail,2024-09-10,CUST1198,Anthony Lee,Cash,Pending,Monica Barron,2741.976
ORD10112,PRD840,Every,Clothing,9,380.83,0,East,Wholesale,2024-08-09,CUST2791,Cheryl Love,Cash,Completed,Patricia Fleming,3427.47
ORD10113,PRD795,Court,Furniture,3,380.83,15,East,Online,2025-03-08,CUST5651,Eric Santos,PayPal,Pending,Mindy Mccarty,971.1165
ORD10114,PRD953,Order,Electronics,4,380.83,5,South,Retail,2025-06-25,CUST1479,Kathryn Espinoza,Cash,Completed,Adrian Taylor,1447.1539999999998
ORD10115,PRD220,Majority,Furniture,8,380.83,10,South,Wholesale,2025-05-21,CUST5819,Robert Mejia,Credit Card,Returned,Paul Lane,2741.976
ORD10116,PRD592,Factor,Electronics,3,380.83,0,West,Retail,2025-03-07,CUST8072,Louis Cox,Cash,Completed,Melanie Harris,1142.49
ORD10117,PRD424,Billion,Books,3,380.83,15,East,Wholesale,2025-07-08,CUST7834,Anna Santana,Cash,Completed,Sandra Little,971.1165
ORD10118,PRD135,But,Furniture,6,380.83,20,East,Online,2024-11-16,CUST1240,Douglas Howard,Wire Transfer,Returned,Lisa Durham,1827.9840000000002
ORD10119,PRD904,That,Toys,6,380.83,20,West,Online,2025-06-18,CUST6729,Kenneth Orozco,Wire Transfer,Completed,Marc Williams,1827.9840000000002
ORD10120,PRD326,Fall,Books,7,380.83,15,South,Online,2024-12-06,CUST2284,Daniel Garcia,Wire Transfer,Pending,Vincent Gonzales,2265.9384999999997
ORD10121,PRD950,Parent,Toys,4,380.83,5,North,Retail,2025-06-26,CUST5976,Robert Reyes,Credit Card,Pending,Kara Rogers,1447.1539999999998
ORD10122,PRD469,Agency,Clothing,6,380.83,5,North,Online,2024-11-11,CUST9588,Anthony Hawkins,PayPal,Cancelled,Carol Wagner,2170.7309999999998
ORD10123,PRD715,Remember,Clothing,9,380.83,20,South,Retail,2025-07-15,CUST7802,Arthur Wilson,PayPal,Completed,Laura Blanchard,2741.976
ORD10124,PRD452,Floor,Electronics,4,380.83,15,East,Online,2025-03-31,CUST1192,Kelly Taylor,Wire Transfer,Pending,Elizabeth Brown,1294.822
ORD10125,PRD531,Street,Toys,8,380.83,10,South,Retail,2024-10-22,CUST4054,Alexander Thompson DVM,Wire Transfer,Cancelled,John Olson,2741.976
ORD10126,PRD182,Shake,Toys,2,380.83,20,West,Wholesale,2025-07-27,CUST9834,Jennifer Bass,Credit Card,Cancelled,Amanda Freeman,609.328
ORD10127,PRD385,Along,Books,1,380.83,20,West,Online,2025-05-28,CUST6180,Daniel Gamble,Wire Transfer,Pending,Michael Waters,304.664
ORD10128,PRD912,Western,Toys,9,380.83,20,East,Online,2024-10-18,CUST2821,Stephanie Hicks,Cash,Completed,Matthew Kim,2741.976
ORD10129,PRD327,Threat,Books,2,380.83,5,North,Wholesale,2025-03-28,CUST1228,Michele Flynn,Cash,Cancelled,Tiffany Mcpherson,723.5769999999999
ORD10130,PRD887,Decide,Furniture,5,380.83,15,North,Wholesale,2025-03-25,CUST4248,Victoria Deleon,Wire Transfer,Cancelled,Henry Rice,1618.5275
ORD10131,PRD295,Difference,Furniture,8,380.83,0,West,Online,2024-12-07,CUST4400,Debbie Thomas,PayPal,Completed,Robert Meadows,3046.64
ORD10132,PRD567,Daughter,Books,7,380.83,20,South,Online,2024-12-08,CUST4350,Sarah Murphy,Credit Card,Cancelled,Judy Bautista,2132.648
ORD10133,PRD869,Road,Toys,1,380.83,5,South,Retail,2025-07-22,CUST9785,Amy White,PayPal,Completed,Michael Mcconnell,361.78849999999994
ORD10134,PRD894,Believe,Electronics,9,380.83,5,West,Retail,2025-08-05,CUST5632,Nancy Ramirez,Wire Transfer,Pending,Brett Smith,3256.0964999999997
ORD10135,PRD686,Your,Clothing,7,380.83,15,West,Retail,2025-08-02,CUST7851,Adam Abbott,Credit Card,Cancelled,Barbara Hebert,2265.9384999999997
ORD10136,PRD706,Room,Toys,9,380.83,15,West,Online,2025-02-27,CUST8393,Karl Morris,PayPal,Cancelled,Robert Garcia,2913.3495
ORD10137,PRD102,Particularly,Books,2,380.83,15,East,Online,2024-08-21,CUST6925,Barbara Gamble,Credit Card,Completed,Ryan Perry,647.411
ORD10138,PRD807,News,Books,7,380.83,15,East,Retail,2024-12-23,CUST6171,Jennifer Ingram,PayPal,Completed,Mark Rangel,2265.9384999999997
ORD10139,PRD812,Rise,Furniture,7,380.83,0,East,Online,2024-10-18,CUST8286,Andrea Gould,Credit Card,Returned,Kurt Moore,2665.81
ORD10140,PRD474,Represent,Electronics,1,380.83,15,South,Retail,2025-06-06,CUST2999,Rachel Alvarado,Credit Card,Pending,Chris Peterson,323.7055
ORD10141,PRD395,Value,Furniture,5,380.83,5,North,Retail,2024-12-25,CUST9585,Nicole Davis,Wire Transfer,Pending,Michael Carlson,1808.9424999999999
ORD10142,PRD426,Address,Toys,2,380.83,10,East,Online,2025-07-30,CUST3693,Jennifer Taylor,Credit Card,Pending,Mary Larson,685.494
ORD10143,PRD346,Sister,Clothing,1,380.83,5,South,Online,2025-06-16,CUST2051,Christina Austin,Credit Card,Returned,Tara Wilson,361.78849999999994
ORD10144,PRD399,Learn,Clothing,4,380.83,5,North,Online,2025-06-03,CUST3367,Erika Little,Wire Transfer,Cancelled,Jason Wilson,1447.1539999999998
ORD10145,PRD450,Bag,Toys,8,380.83,20,West,Wholesale,2025-06-09,CUST7665,Pamela Rodriguez,PayPal,Pending,Katherine Norris,2437.312
ORD10146,PRD267,Customer,Furniture,7,380.83,5,South,Online,2025-02-03,CUST7912,Gloria Hudson,Credit Card,Completed,Lisa Brooks,2532.5195
ORD10147,PRD294,So,Clothing,8,380.83,10,South,Retail,2025-06-10,CUST9061,Dr. William Miller,Wire Transfer,Returned,Shawn Figueroa,2741.976
ORD10148,PRD454,Business,Clothing,3,380.83,0,West,Online,2025-06-07,CUST8229,Cindy Stewart,Wire Transfer,Returned,Daniel Diaz,1142.49
ORD10149,PRD604,Interest,Toys,7,380.83,10,East,Retail,2025-02-14,CUST1535,Roy Hernandez,Wire Transfer,Pending,Melissa Young,2399.229
ORD10150,PRD369,Themselves,Clothing,1,380.83,15,East,Retail,2024-11-30,CUST5770,Monica Garcia,Wire Transfer,Completed,Jonathan Watson,323.7055
ORD10151,PRD927,Above,Furniture,8,380.83,0,North,Wholesale,2024-12-04,CUST2987,James Hudson,PayPal,Cancelled,Alicia Washington,3046.64
ORD10152,PRD423,Site,Electronics,5,380.83,20,East,Wholesale,2025-05-05,CUST8331,Daniel Ryan,PayPal,Pending,Rebekah Wright,1523.32
ORD10153,PRD925,Another,Electronics,1,380.83,5,South,Online,2024-11-23,CUST1494,Michelle Schroeder,Cash,Returned,David Shepard,361.78849999999994
ORD10154,PRD419,Kid,Furniture,5,380.83,5,East,Online,2025-02-09,CUST7997,Karen Brown,Credit Card,Returned,Tiffany Daniels,1808.9424999999999
ORD10155,PRD713,Into,Clothing,8,380.83,5,West,Online,2025-01-05,CUST9282,Carolyn Fox,Credit Card,Returned,Katherine Fisher,2894.3079999999995
ORD10156,PRD706,Popular,Books,5,380.83,10,North,Online,2025-07-27,CUST2613,Sierra Travis,Cash,Completed,Kenneth Baker Jr.,1713.735
ORD10157,PRD460,Future,Toys,1,380.83,20,South,Retail,2025-01-11,CUST5255,Andrew Hall,Wire Transfer,Returned,Marcus Stevens,304.664
ORD10158,PRD796,Itself,Furniture,8,380.83,5,West,Wholesale,2024-08-29,CUST9048,Dakota Ortiz,Credit Card,Cancelled,Robert Hernandez,2894.3079999999995
ORD10159,PRD640,Development,Clothing,4,380.83,10,East,Online,2024-08-09,CUST2379,Kelli White,Cash,Pending,Carl Bolton MD,1370.988
ORD10160,PRD162,Standard,Books,1,380.83,20,North,Retail,2024-09-01,CUST7592,Rhonda Hoover,Wire Transfer,Completed,Amy Willis,304.664
ORD10161,PRD952,Describe,Toys,9,380.83,20,South,Wholesale,2024-12-05,CUST8280,Chelsey Smith,Credit Card,Completed,Dean Stewart,2741.976
ORD10162,PRD238,Into,Furniture,7,380.83,10,North,Retail,2024-10-12,CUST2291,Craig Bauer,PayPal,Returned,Leslie Baxter,2399.229
ORD10163,PRD600,Space,Toys,6,380.83,20,South,Online,2024-12-22,CUST7191,Carmen Fields,Wire Transfer,Returned,Jared Jackson,1827.9840000000002
ORD10164,PRD241,Last,Electronics,7,380.83,0,East,Wholesale,2025-06-28,CUST8650,Caroline Wallace,PayPal,Pending,Daniel Price,2665.81
ORD10165,PRD896,Behavior,Furniture,5,380.83,0,East,Online,2025-04-26,CUST9842,Jason Brown,PayPal,Completed,Russell Hopkins,1904.1499999999999
ORD10166,PRD548,List,Clothing,8,380.83,0,South,Online,2025-06-20,CUST4365,John Walker,Wire Transfer,Cancelled,Kristi Garcia,3046.64
ORD10167,PRD133,Government,Electronics,2,380.83,20,North,Retail,2024-12-07,CUST4164,Glenda Shields,Wire Transfer,Pending,Chad Lucas,609.328
ORD10168,PRD704,Girl,Toys,9,380.83,0,South,Online,2024-11-12,CUST7844,Gabrielle Ruiz,Wire Transfer,Returned,Dr. Keith Gordon,3427.47
ORD10169,PRD452,Player,Furniture,6,380.83,20,West,Online,2024-09-30,CUST6559,Amanda Adkins,Wire Transfer,Pending,Veronica Ramirez,1827.9840000000002
ORD10170,PRD408,Surface,Electronics,2,380.83,0,South,Wholesale,2025-08-01,CUST2880,Brandon Morrison,PayPal,Completed,Martin Conley,761.66
ORD10171,PRD318,Meeting,Furniture,4,380.83,10,North,Wholesale,2024-09-24,CUST1170,Jeffrey Snyder,Cash,Cancelled,Brandon Padilla,1370.988
ORD10172,PRD830,Risk,Books,4,380.83,10,North,Retail,2025-07-31,CUST9640,Joshua Bush,Credit Card,Completed,Marissa Johnson,1370.988
ORD10173,PRD823,Wide,Electronics,1,380.83,20,North,Wholesale,2024-08-24,CUST2031,Richard Powers,Wire Transfer,Pending,William Humphrey,304.664
